timestamp,open,high,low,close,volume
2024-01-01T00:00:00Z,42000.00,42007.26,41983.22,41987.90,234.118
2024-01-01T00:15:00Z,41987.90,42086.29,41908.51,42046.85,71.735
2024-01-01T00:30:00Z,42046.85,42051.72,42018.84,42028.60,56.634
2024-01-01T00:45:00Z,42028.60,42145.69,41970.83,42126.41,186.235
2024-01-01T01:00:00Z,42126.41,42202.42,42124.65,42147.16,251.455
2024-01-01T01:15:00Z,42147.16,42159.47,42101.79,42138.20,88.870
2024-01-01T01:30:00Z,42138.20,42221.96,42122.33,42211.81,261.874
2024-01-01T01:45:00Z,42211.81,42293.68,42165.35,42232.76,232.433
2024-01-01T02:00:00Z,42232.76,42258.39,41972.99,42011.47,257.351
2024-01-01T02:15:00Z,42011.47,42146.63,41954.83,42085.07,194.338
2024-01-01T02:30:00Z,42085.07,42097.44,42073.00,42077.81,69.948
2024-01-01T02:45:00Z,42077.81,42148.80,42058.51,42146.71,119.493
2024-01-01T03:00:00Z,42146.71,42176.94,42074.07,42093.85,116.744
2024-01-01T03:15:00Z,42093.85,42192.02,42070.28,42135.89,202.283
2024-01-01T03:30:00Z,42135.89,42260.66,42114.58,42200.65,297.381
2024-01-01T03:45:00Z,42200.65,42305.58,42159.16,42271.20,221.154
2024-01-01T04:00:00Z,42271.20,42412.90,42269.78,42351.76,128.863
2024-01-01T04:15:00Z,42351.76,42376.45,42322.78,42373.21,285.727
2024-01-01T04:30:00Z,42373.21,42451.60,42349.40,42425.75,278.637
2024-01-01T04:45:00Z,42425.75,42457.92,42346.69,42355.19,111.657
2024-01-01T05:00:00Z,42355.19,42367.62,42216.03,42293.90,149.850
2024-01-01T05:15:00Z,42293.90,42321.98,42058.77,42202.34,177.382
2024-01-01T05:30:00Z,42202.34,42231.49,42156.56,42224.40,248.020
2024-01-01T05:45:00Z,42224.40,42313.37,42217.21,42299.84,145.405
2024-01-01T06:00:00Z,42299.84,42404.91,42217.22,42403.64,52.870
